kind,id,title,url,source,snippet
shop,lucifer,冒险岛宇宙- 链动小铺,https://pay.ldxp.cn/shop/lucifer,"tavily, exa","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,96H3487D,晓晓游戏屋- 链动小铺,https://pay.ldxp.cn/shop/96H3487D,"tavily, exa","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
item,42fli5,11780 - 链动小铺,https://pay.ldxp.cn/item/42fli5,"tavily, exa","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
item,wv08td,下雪的史努比- 链动小铺,https://pay.ldxp.cn/item/wv08td,"tavily, exa","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
item,r6j5pd,Untitled,https://pay.ldxp.cn/item/r6j5pd,"tavily, exa","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,parhom,Parhom,https://pay.ldxp.cn/shop/parhom,exa,
shop,Lucoo,店铺地址 - 自动发卡网,https://pay.ldxp.cn/shop/Lucoo,exa,
shop,XEBRMV34,mozheAPI - 链动小铺,https://pay.ldxp.cn/shop/XEBRMV34,exa,
shop,WJGYSHEH,Wjgysheh,https://pay.ldxp.cn/shop/WJGYSHEH,exa,
item,9t0s0y,Untitled,https://pay.ldxp.cn/item/9t0s0y,exa,
item,9axixc,https://pay.ldxp.cn/item/9axixc,https://pay.ldxp.cn/item/9axixc,exa,
shop,LOA3IZW5,Loa3izw5,https://pay.ldxp.cn/shop/LOA3IZW5,exa,
shop,52ai,https://pay.ldxp.cn/shop/52ai,https://pay.ldxp.cn/shop/52ai,exa,
shop,KD7HE66S,Kd7he66s,https://pay.ldxp.cn/shop/KD7HE66S,exa,
item,x3bps3,鬼灭之刃蛇恋CP - 链动小铺,https://pay.ldxp.cn/item/x3bps3,tavily,"链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,ydbsq123,Ydbsq123,https://pay.ldxp.cn/shop/ydbsq123,exa,
