kind,id,title,url,source,snippet
item,42fli5,11780 - 链动小铺,https://pay.ldxp.cn/item/42fli5,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
item,9axixc,https://pay.ldxp.cn/item/9axixc,https://pay.ldxp.cn/item/9axixc,exa,
item,9t0s0y,Untitled,https://pay.ldxp.cn/item/9t0s0y,exa,
item,hdb12m,Qt 5.15.17 linux binary package - ubuntu22.04.5 - 链动小铺,https://pay.ldxp.cn/item/hdb12m,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
item,k41h4o,https://pay.ldxp.cn/item/k41h4o,https://pay.ldxp.cn/item/k41h4o,exa,
item,owiwr6,库存63 - 自动发卡网,https://pay.ldxp.cn/item/owiwr6,exa,
item,r6j5pd,Untitled,https://pay.ldxp.cn/item/r6j5pd,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
item,vsnb8d,可灵钻石会员一个月- 链动小铺,https://pay.ldxp.cn/item/vsnb8d,exa,
item,wezle9,打开商品 - 自动发卡网,https://pay.ldxp.cn/item/wezle9,exa,
item,wv08td,下雪的史努比- 链动小铺,https://pay.ldxp.cn/item/wv08td,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
item,x3bps3,鬼灭之刃蛇恋CP - 链动小铺,https://pay.ldxp.cn/item/x3bps3,tavily,"链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,2XLR97IG,https://pay.ldxp.cn/shop/2XLR97IG,https://pay.ldxp.cn/shop/2XLR97IG,exa,
shop,52ai,https://pay.ldxp.cn/shop/52ai,https://pay.ldxp.cn/shop/52ai,exa,
shop,96H3487D,晓晓游戏屋- 链动小铺,https://pay.ldxp.cn/shop/96H3487D,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,9WQWAIMD,9wqwaimd,https://pay.ldxp.cn/shop/9WQWAIMD,exa,
shop,F6R79HVA,F6r79hva,https://pay.ldxp.cn/shop/F6R79HVA,exa,
shop,HF7SHNTA,wobuhuijianji - 链动小铺,https://pay.ldxp.cn/shop/HF7SHNTA,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,HNGFW0MA,Hngfw0ma,https://pay.ldxp.cn/shop/HNGFW0MA,exa,
shop,ice,Ice,https://pay.ldxp.cn/shop/ice,exa,
shop,JVDCG8IG,Jvdcg8ig,https://pay.ldxp.cn/shop/JVDCG8IG,exa,
shop,KD7HE66S,Kd7he66s,https://pay.ldxp.cn/shop/KD7HE66S,exa,
shop,LOA3IZW5,Loa3izw5,https://pay.ldxp.cn/shop/LOA3IZW5,exa,
shop,lucifer,冒险岛宇宙- 链动小铺,https://pay.ldxp.cn/shop/lucifer,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,Lucoo,店铺地址 - 自动发卡网,https://pay.ldxp.cn/shop/Lucoo,exa,
shop,LVVK5RTY,Lvvk5rty,https://pay.ldxp.cn/shop/LVVK5RTY,exa,
shop,MAMY9DA8,https://pay.ldxp.cn/shop/MAMY9DA8/wxct14,https://pay.ldxp.cn/shop/MAMY9DA8/wxct14,exa,
shop,mirage,Mirage,https://pay.ldxp.cn/shop/mirage,exa,
shop,parhom,Parhom,https://pay.ldxp.cn/shop/parhom,exa,
shop,WJGYSHEH,Wjgysheh,https://pay.ldxp.cn/shop/WJGYSHEH,exa,
shop,XEBRMV34,mozheAPI - 链动小铺,https://pay.ldxp.cn/shop/XEBRMV34,"exa, tavily","链动小铺发卡网是国内优秀自动发卡平台,提供专业虚拟软件卡密自动交易服务,D0当天秒结算,专注直清通道的稳定平台,稳定24小时不间断为您提供优质的寄售体验。"
shop,ydbsq123,Ydbsq123,https://pay.ldxp.cn/shop/ydbsq123,exa,
shop,Z3VSKEGC,Z3vskegc,https://pay.ldxp.cn/shop/Z3VSKEGC,exa,
